ID,Geometry_Type,Coordinates,Color Hex,Floors
70,Polygon,"[[[46.591414637981785, 24.741149399409178], [46.59134907938515, 24.74117155869649], [46.59076523137608, 24.74092642416042], [46.590711337606066, 24.74090379586343], [46.59087651593545, 24.740575670243555], [46.59071386597512, 24.740507379432053], [46.59059986548146, 24.74045951427547], [46.59054417582863, 24.7404361320746], [46.59052381766505, 24.740476573808998], [46.59050868114071, 24.74050664253869], [46.590406461871616, 24.740709696323588], [46.59039964234411, 24.740723241960456], [46.590379368524424, 24.740764414141935], [46.590332559981626, 24.740744760554627], [46.590305847755914, 24.740733545415065], [46.59015443876905, 24.74066997342094], [46.5899301275947, 24.740575792144345], [46.58986125288885, 24.740546873852743], [46.58987074358308, 24.740528021470926], [46.58987336553452, 24.740522813643256], [46.5898827269997, 24.74050421725319], [46.58988850799927, 24.74049273317083], [46.5898364165011, 24.74047085019191], [46.58983063066965, 24.74048234335283], [46.58980915654389, 24.740524999945748], [46.58980556331779, 24.740523491372567], [46.58978893408328, 24.740516509479406], [46.58978400991714, 24.74051444167433], [46.58977002069157, 24.74050856854173], [46.5897545752711, 24.740502082427046], [46.589540253128696, 24.740412094252942], [46.58953498012106, 24.74036626683618], [46.58958990684136, 24.740328894160285], [46.58968785968921, 24.740268926556464], [46.58978895760343, 24.740213484338373], [46.58986465237367, 24.740176521495073], [46.58989295020219, 24.74016270288387], [46.58999199659933, 24.74011978583993], [46.5900931096559, 24.740081098624064], [46.590223836138, 24.740036583036474], [46.59035611830507, 24.73999607872518], [46.59064376676237, 24.739923933347868], [46.590794458616415, 24.739892755387995], [46.59133559650675, 24.739793405567873], [46.5920294222416, 24.739666020861094], [46.592112861654726, 24.739762376375257], [46.5917408665399, 24.7405013509655], [46.59169957139707, 24.740583382155762], [46.591414637981785, 24.741149399409178]]]",#A14BFF,4.25
76,Polygon,"[[[46.592549271789295, 24.740840761438722], [46.59250797809193, 24.740922793719502], [46.5918792170813, 24.740658807644817], [46.59192051112511, 24.740576775518207], [46.592549271789295, 24.740840761438722]]]",#FF5733,2.25
79,Polygon,"[[[46.59250797809193, 24.740922793719502], [46.59222304775014, 24.741488812340695], [46.59215748914373, 24.74151097198256], [46.59161854851018, 24.7412846969729], [46.59159428434899, 24.741224825202185], [46.5918792170813, 24.740658807644817], [46.59250797809193, 24.740922793719502]]]",#33FF57,3.25
80,Polygon,"[[[46.590379368524424, 24.740764414141935], [46.59039964234411, 24.740723241960456], [46.590406461871616, 24.740709696323588], [46.59050868114071, 24.74050664253869], [46.59052381766505, 24.740476573808998], [46.59054417582863, 24.7404361320746], [46.59059986548146, 24.74045951427547], [46.59071386597512, 24.740507379432053], [46.59087651593545, 24.740575670243555], [46.590711337606066, 24.74090379586343], [46.590427260514424, 24.740784522119252], [46.59042390583262, 24.740783113962163], [46.590379368524424, 24.740764414141935]]]",#FF33A1,1.25
88,Polygon,"[[[46.59284633159201, 24.740250641031867], [46.592549271789295, 24.740840761438722], [46.59192051112511, 24.740576775518207], [46.59221757342008, 24.73998665622041], [46.59284633159201, 24.740250641031867]]]",#57FF33,5.25
97,Polygon,"[[[46.58980915654389, 24.740524999945748], [46.58983063066965, 24.74048234335283], [46.5898364165011, 24.74047085019191], [46.58988850799927, 24.74049273317083], [46.5898827269997, 24.74050421725319], [46.58987336553452, 24.740522813643256], [46.58987074358308, 24.740528021470926], [46.58986125288885, 24.740546873852743], [46.5898352047142, 24.740535936901626], [46.5898276176878, 24.740532751549456], [46.58980915654389, 24.740524999945748]]]",#3357A1,8.25
106,Polygon,"[[[46.590447086764826, 24.739783048900595], [46.59035213113965, 24.73980818960844], [46.590185391313256, 24.739857556836764], [46.59002094996185, 24.739912984231083], [46.589890656203536, 24.73996345698536], [46.589763604523114, 24.740020409758547], [46.58964018324109, 24.740083670498645], [46.58952076656562, 24.740153045634383], [46.58940571662719, 24.74022832456795], [46.58933391717991, 24.740281006228777], [46.589250472760355, 24.74029042274571], [46.588853333064115, 24.740123671435803], [46.588844488140154, 24.740073944244624], [46.58892142349587, 24.740008093544724], [46.589039634312606, 24.739916715924675], [46.589162754350326, 24.739830913118677], [46.58929046708507, 24.739750906073212], [46.58942244590406, 24.73967689958985], [46.58955835410549, 24.739609082325295], [46.58969784293291, 24.739547627715464], [46.58984055552906, 24.739492693933556], [46.58996576891393, 24.73944966909169], [46.59009222954118, 24.73940980284971], [46.59021984187632, 24.739373123305192], [46.59031482813848, 24.73934808259021], [46.590447086764826, 24.739783048900595]]]",#FFB533,7.25
107,Polygon,"[[[46.592126572483096, 24.739464000492802], [46.59202965239504, 24.73948179534419], [46.59183033193006, 24.73951839022486], [46.59173341174657, 24.739536184888728], [46.59075549171597, 24.739715725826784], [46.59065210690206, 24.739735896264275], [46.590549284873575, 24.739758341417314], [46.590447086764826, 24.739783048900595], [46.59031482813848, 24.73934808259021], [46.59042857255651, 24.739320583670942], [46.59054301037264, 24.73929560275633], [46.59065807652279, 24.739273154078827], [46.59163599034078, 24.73909361396496], [46.591732910202474, 24.739075819379654], [46.59193222901712, 24.739039224671078], [46.59202914878337, 24.73902142989827], [46.592126572483096, 24.739464000492802]]]",#33A1FF,1.25
171,Polygon,"[[[46.592455816500426, 24.739589838407866], [46.5928600169278, 24.73975954240425], [46.592674195233705, 24.740128685666456], [46.59223822024255, 24.739945640570678], [46.59240339631139, 24.73961751346064], [46.59244013425533, 24.7395918478821], [46.592455816500426, 24.739589838407866]]]",#A1FF33,2.25
179,Polygon,"[[[46.59263923304062, 24.739387632458136], [46.5926333184664, 24.739388065503903], [46.59262628380147, 24.739388580879243], [46.5926192501135, 24.739389095340965], [46.59261260263983, 24.739389582222564], [46.59258212763934, 24.739392408932837], [46.59257779549284, 24.739355250457237], [46.592575638795175, 24.739336747415773], [46.592575220240725, 24.73933315014538], [46.59259943104215, 24.739331096080072], [46.592632319798696, 24.73932830511508], [46.59263923304062, 24.739387632458136]]]",#FF3380,5.25
180,Polygon,"[[[46.59258212763934, 24.739392408932837], [46.59255467930481, 24.73939495517462], [46.5924968938482, 24.73940145076551], [46.59243927193564, 24.739409066013998], [46.59238184020984, 24.73941779702564], [46.59232462532502, 24.739427640808746], [46.59227616478804, 24.739436535601676], [46.592126572483096, 24.739464000492802], [46.59202914878337, 24.73902142989827], [46.59217874156867, 24.738993964215123], [46.59222720194472, 24.738985069461467], [46.59229147344017, 24.738973966131194], [46.59235597658891, 24.73896405215719], [46.592420687714196, 24.738955331402313], [46.59248557719662, 24.7389478068897], [46.59252979542301, 24.73894350779355], [46.59255062135947, 24.738941482482282], [46.592615790571934, 24.738936360300464], [46.592681061145846, 24.738932443304478], [46.59273319013783, 24.738979399688265], [46.592717642505974, 24.739319418466543], [46.59271659985594, 24.73934218384409], [46.59267063916465, 24.73938533397732], [46.592659374016144, 24.739386158864004], [46.592651978815795, 24.73938669974176], [46.59263923304062, 24.739387632458136], [46.592632319798696, 24.73932830511508], [46.59259943104215, 24.739331096080072], [46.592575220240725, 24.73933315014538], [46.592575638795175, 24.739336747415773], [46.59257779549284, 24.739355250457237], [46.59258212763934, 24.739392408932837]]]",#8033FF,8.25
262,Polygon,"[[[46.593116082215204, 24.73957164509837], [46.5931281027356, 24.73959083603391], [46.59313060856389, 24.739594836386114], [46.59315602515859, 24.73963541486321], [46.59284633159201, 24.740250641031867], [46.59221757342008, 24.73998665622041], [46.59223822024255, 24.739945640570678], [46.592674195233705, 24.740128685666456], [46.5928600169278, 24.73975954240425], [46.592455816500426, 24.739589838407866], [46.59257446572564, 24.7395746312758], [46.592709611459775, 24.739563982711406], [46.59284518626382, 24.73955993065838], [46.592980805725794, 24.739562487326836], [46.593006172916525, 24.739564205008847], [46.59301266907113, 24.739564644300113], [46.59301749294752, 24.739564970443748], [46.59301018536087, 24.739655008886885], [46.59310877469977, 24.739661683542675], [46.593116082215204, 24.73957164509837]]]",#33FFB5,6.25
263,Polygon,"[[[46.58862772874416, 24.74036680414939], [46.58863889005699, 24.740371490240612], [46.59198114555536, 24.74177478838168], [46.59199427820079, 24.741780302008237], [46.592017087386125, 24.741789878875974], [46.59204135187184, 24.741849750558153], [46.59202745852135, 24.74187734939712], [46.59201356516502, 24.741904948235], [46.59164905059513, 24.74262905079501], [46.58832101766525, 24.741231726192485], [46.58814854457346, 24.74115930743923], [46.58794352690315, 24.741073223709293], [46.58817822657753, 24.740775930898234], [46.5882876618595, 24.74065565788256], [46.588492141998735, 24.740430926097606], [46.5885034662347, 24.740418480396006], [46.58854024706252, 24.740378056256464], [46.58861674932077, 24.740362193779852], [46.58862772874416, 24.74036680414939]]]",#FF8C33,3.25
545,Polygon,"[[[46.593116082215204, 24.73957164509837], [46.59310877469977, 24.739661683542675], [46.59301018536087, 24.739655008886885], [46.59301749294752, 24.739564970443748], [46.593116082215204, 24.73957164509837]]]",#33FF8C,1.25
